participant_id,campus,artwork_theme,html_folder,available_conditions
P01,Kashiwa,"竹，兰",kashiwa1,"BR; NoneBR"
P02,Hongo,游戏角色,hongo2,"BR; NoneBR"
P03,Kashiwa,宝可梦3D龙,,No HTML available
P04,Hongo,插花,hongo4,"BR; NoneBR"
P05,Hongo,Beach,hongo5,"BR; NoneBR"
P06,Hongo,兔子,hongo6,"BR; NoneBR"
P07,Hongo,"怪兽，恐龙",hongo7,"BR; NoneBR"
P08,Hongo,"farm, tree, house",hongo8,"BR; NoneBR"
P09,Kashiwa,cat in box,Kashiwa9,"BR; NoneBR"
P10,Kashiwa,霓虹灯闪烁的城市,kashiwa10,"BR; NoneBR"
P11,Hongo,Memories,hongo11,"BR; NoneBR"
P12,Hongo,动物,hongo12,"BR; NoneBR"
P13,Hongo,People,hongo13,"BR; NoneBR"
P14,Hongo,呕吐,hongo14,"BR; NoneBR"
P15,Hongo,用立体笔触画平面构成,,No HTML available
P16,Hongo,可爱,hongo16,"BR; NoneBR"
P17,Hongo,愧,hongo17,"BR; NoneBR"
P18,Kashiwa,my home,kashiwa18,"BR; NoneBR"
